禹州,#genre#
禹州融媒,https://go.simui.xyz/live/douyin/969563702887
禹州综合,http://tvpull.dxhmt.cn:9081/tv/11081-1.m3u8
禹州公共,http://tvpull.dxhmt.cn:9081/tv/11081-2.m3u8

河南,#genre#
河南卫视,http://simui.xyz/api/dxxw.php?id=145
河南国际,http://simui.xyz/api/dxxw.php?id=153
河南都市,http://simui.xyz/api/dxxw.php?id=141
河南民生,http://simui.xyz/api/dxxw.php?id=146
河南法治,http://simui.xyz/api/dxxw.php?id=147
河南新闻,http://simui.xyz/api/dxxw.php?id=149
河南公共,http://simui.xyz/api/dxxw.php?id=151
河南乡村,http://simui.xyz/api/dxxw.php?id=152
河南电视剧,http://simui.xyz/api/dxxw.php?id=148
河南移动,http://simui.xyz/api/dxxw.php?id=163
河南象视界,http://simui.xyz/api/dxxw.php?id=183
河南晴彩中原,http://simui.xyz/api/dxxw.php?id=157
河南国学频道,http://simui.xyz/api/dxxw.php?id=194
河南梨园频道,http://simui.xyz/api/dxxw.php?id=154
河南文物宝库,http://simui.xyz/api/dxxw.php?id=155
河南武术世界,http://simui.xyz/api/dxxw.php?id=156

河南新闻,http://jycb.f3322.net:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
河南都市,http://jycb.f3322.net:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
河南民生,http://jycb.f3322.net:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
河南法治,http://jycb.f3322.net:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧,http://jycb.f3322.net:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河南移动,http://jycb.f3322.net:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
河南收藏天下,http://jycb.f3322.net:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
河南戏曲,http://jycb.f3322.net:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
河南中华功夫,http://jycb.f3322.net:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
河南百姓调解,http://jycb.f3322.net:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0

周口新闻综合,http://simui.xyz/api/zk.php?id=zkxwzh
周口公共频道,http://simui.xyz/api/zk.php?id=zkgg
周口教育频道,http://simui.xyz/api/zk.php?id=zkjy
周口川汇频道,http://simui.xyz/api/zk.php?id=zkch

河南卫视,http://media.hndyjyfw.gov.cn/live/jz-hnweishi/live.m3u8
河南都市,http://media.hndyjyfw.gov.cn/live/jz-henandushi/live.m3u8
河南民生,http://media.hndyjyfw.gov.cn/live/jz-henanminsheng/live.m3u8
河南戏曲,http://media.hndyjyfw.gov.cn/live/jz-henanliyuan/live.m3u8

上海,#genre#
上海东方卫视,https://simui.xyz/api/sh.php?id=dfws
上海新闻综合,https://simui.xyz/api/sh.php?id=shxwzh
上海外语,https://simui.xyz/api/sh.php?id=shics
上海都市,https://simui.xyz/api/sh.php?id=shds
上海第一财经,https://simui.xyz/api/sh.php?id=dycj
上海纪实人文,https://simui.xyz/api/sh.php?id=jsrw


浙江,#genre#
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8


福建,#genre#
东南卫视,https://simui.xyz/api/fj.php?id=dnws
海峡卫视,https://simui.xyz/api/fj.php?id=hxws
福建综合,https://simui.xyz/api/fj.php?id=fjzh
福建新闻,https://simui.xyz/api/fj.php?id=fjxw
福建公共,https://simui.xyz/api/fj.php?id=fjgg
福建旅游,https://simui.xyz/api/fj.php?id=fjly
福建经视,https://simui.xyz/api/fj.php?id=fjjs
福建文体,https://simui.xyz/api/fj.php?id=fjwt
福建少儿,https://simui.xyz/api/fj.php?id=fjse
福建电视剧,https://simui.xyz/api/fj.php?id=fjdsj


贵州,#genre#
贵州卫视,https://simui.xyz/api/gz.php?id=gzws
贵州公共,https://simui.xyz/api/gz.php?id=gzgg
贵州影视,https://simui.xyz/api/gz.php?id=gzys
贵州生活,https://simui.xyz/api/gz.php?id=gzsh
贵州法制,https://simui.xyz/api/gz.php?id=gzfz
贵州科教,https://simui.xyz/api/gz.php?id=gzkj
贵州经济,https://simui.xyz/api/gz.php?id=gzjj
贵州移动,https://simui.xyz/api/gz.php?id=gzyd


西藏,#genre#
西藏卫视,https://simui.xyz/api/xz.php?id=xzws
西藏藏语,https://simui.xyz/api/xz.php?id=xzzy
西藏影视,https://simui.xyz/api/xz.php?id=xzys
